year,occupation,occupation_code,industry,naics_code,age_group,days_away,cases,total_cases_category,days_away_median
2017,,,Data processing hosting and related services,518000,16 to 19,,–,430,
2017,,,Other information services,519000,16 to 19,,–,520,
2017,,,Computer systems design and related services,541500,16 to 19,,70,1980,
2017,,,Business support services,561400,16 to 19,,30,2120,
2017,,,Data processing hosting and related services,518000,20 to 24,,20,430,
2017,,,Other information services,519000,20 to 24,,–,520,
2017,,,Computer systems design and related services,541500,20 to 24,,220,1980,
2017,,,Business support services,561400,20 to 24,,180,2120,
2017,,,Data processing hosting and related services,518000,25 to 34,,110,430,
2017,,,Other information services,519000,25 to 34,,–,520,
2017,,,Computer systems design and related services,541500,25 to 34,,290,1980,
2017,,,Business support services,561400,25 to 34,,320,2120,
2017,,,Data processing hosting and related services,518000,35 to 44,,60,430,
2017,,,Other information services,519000,35 to 44,,190,520,
2017,,,Computer systems design and related services,541500,35 to 44,,660,1980,
2017,,,Business support services,561400,35 to 44,,460,2120,
2017,,,Data processing hosting and related services,518000,45 to 54,,100,430,
2017,,,Other information services,519000,45 to 54,,200,520,
2017,,,Computer systems design and related services,541500,45 to 54,,410,1980,
2017,,,Business support services,561400,45 to 54,,600,2120,
2017,,,Data processing hosting and related services,518000,55 to 64,,120,430,
2017,,,Other information services,519000,55 to 64,,–,520,
2017,,,Computer systems design and related services,541500,55 to 64,,250,1980,
2017,,,Business support services,561400,55 to 64,,440,2120,
2017,,,Data processing hosting and related services,518000,65 and over,,–,430,
2017,,,Other information services,519000,65 and over,,–,520,
2017,,,Computer systems design and related services,541500,65 and over,,90,1980,
2017,,,Business support services,561400,65 and over,,80,2120,
2018,,,Data processing hosting and related services,518000,16 to 19,,–,500,
2018,,,Other information services,519000,16 to 19,,–,210,
2018,,,Computer systems design and related services,541500,16 to 19,,–,1490,
2018,,,Business support services,561400,16 to 19,,–,2170,
2018,,,Data processing hosting and related services,518000,20 to 24,,–,500,
2018,,,Other information services,519000,20 to 24,,20,210,
2018,,,Computer systems design and related services,541500,20 to 24,,60,1490,
2018,,,Business support services,561400,20 to 24,,220,2170,
2018,,,Data processing hosting and related services,518000,25 to 34,,140,500,
2018,,,Other information services,519000,25 to 34,,120,210,
2018,,,Computer systems design and related services,541500,25 to 34,,140,1490,
2018,,,Business support services,561400,25 to 34,,410,2170,
