Year,occupation,occupation_code,industry,naics_code,age_group,days_away,cases,total_cases,median_days
2017,All Occupations,,,,,1 day,120990.0,882730.0,8.0
2017,"Management, Business, Science, and Arts Occupations",,,,,1 day,16980.0,103490.0,6.0
2017,"Management, Business, and Financial Occupations",,,,,1 day,4900.0,26320.0,6.0
2017,Management Occupations,110000.0,,,,1 day,3930.0,20050.0,6.0
2017,Top Executives,111000.0,,,,1 day,540.0,3650.0,7.0
2017,Chief Executives,111010.0,,,,1 day,90.0,1010.0,6.0
2017,Chief Executives,111011.0,,,,1 day,90.0,1010.0,6.0
2017,General and Operations Managers,111020.0,,,,1 day,450.0,2630.0,10.0
2017,General and Operations Managers,111021.0,,,,1 day,450.0,2630.0,10.0
2017,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",112000.0,,,,1 day,140.0,800.0,7.0
2017,Advertising and Promotions Managers,112010.0,,,,1 day,,50.0,2.0
2017,Advertising and Promotions Managers,112011.0,,,,1 day,,50.0,2.0
2017,Marketing and Sales Managers,112020.0,,,,1 day,120.0,680.0,11.0
2017,Marketing Managers,112021.0,,,,1 day,30.0,220.0,11.0
2017,Sales Managers,112022.0,,,,1 day,90.0,460.0,8.0
2017,Public Relations and Fundraising Managers,112030.0,,,,1 day,,70.0,6.0
2017,Public Relations and Fundraising Managers,112031.0,,,,1 day,,70.0,6.0
2017,Operations Specialties Managers,113000.0,,,,1 day,510.0,4110.0,6.0
2017,Administrative Services Managers,113010.0,,,,1 day,120.0,860.0,10.0
2017,Administrative Services Managers,113011.0,,,,1 day,120.0,860.0,10.0
2017,Computer and Information Systems Managers,113020.0,,,,1 day,50.0,140.0,4.0
2017,Computer and Information Systems Managers,113021.0,,,,1 day,50.0,140.0,4.0
2017,Financial Managers,113030.0,,,,1 day,140.0,1790.0,6.0
2017,Financial Managers,113031.0,,,,1 day,140.0,1790.0,6.0
2017,Industrial Production Managers,113050.0,,,,1 day,70.0,290.0,3.0
2017,Industrial Production Managers,113051.0,,,,1 day,70.0,290.0,3.0
2017,Purchasing Managers,113060.0,,,,1 day,,80.0,19.0
2017,Purchasing Managers,113061.0,,,,1 day,,80.0,19.0
2017,"Transportation, Storage, and Distribution Managers",113070.0,,,,1 day,50.0,750.0,11.0
2017,"Transportation, Storage, and Distribution Managers",113071.0,,,,1 day,50.0,750.0,11.0
2017,Human Resources Managers,113120.0,,,,1 day,70.0,140.0,2.0
2017,Human Resources Managers,113121.0,,,,1 day,70.0,140.0,2.0
2017,Training and Development Managers,113130.0,,,,1 day,,40.0,6.0
2017,Training and Development Managers,113131.0,,,,1 day,,40.0,6.0
2017,Other Management Occupations,119000.0,,,,1 day,2730.0,11500.0,5.0
2017,"Farmers, Ranchers, and Other Agricultural Managers",119010.0,,,,1 day,30.0,180.0,14.0
2017,"Farmers, Ranchers, and Other Agricultural Managers",119013.0,,,,1 day,30.0,180.0,14.0
2017,Construction Managers,119020.0,,,,1 day,260.0,800.0,3.0
2017,Construction Managers,119021.0,,,,1 day,260.0,800.0,3.0
2017,Education Administrators,119030.0,,,,1 day,140.0,510.0,3.0
2017,"Education Administrators, Preschool and Childcare Center/Program",119031.0,,,,1 day,30.0,80.0,2.0
2017,"Education Administrators, Elementary and Secondary School",119032.0,,,,1 day,100.0,240.0,2.0
2017,"Education Administrators, Postsecondary",119033.0,,,,1 day,20.0,170.0,4.0
2017,"Education Administrators, All Other",119039.0,,,,1 day,,20.0,6.0
2017,Architectural and Engineering Managers,119040.0,,,,1 day,,30.0,49.0
2017,Architectural and Engineering Managers,119041.0,,,,1 day,,30.0,49.0
2017,Food Service Managers,119050.0,,,,1 day,810.0,2760.0,4.0
